permit_type,accela,name,address_no,address_st,bo,zip,inspection_date,inspection_year,inspection_type,all_violations,phh_violations,critical_violations,general_violations,docket,lat,long,BIN,NTA,NTAcode
Indoor,50010008,SPA CASTLE PREMIER 57 INC,115,EAST 57 STREET,MA,10022,5/14/2019,2019,Complaint Inspection,2,0,0,2,,40.76129263,-73.96999542,1036926,Turtle Bay-East Midtown,MN19
Indoor,50012026,50 WEST DEVELOPMENT LLC,50,WEST STREET,MA,10006,5/20/2019,2019,Routine Inspection,2,0,0,2,,40.70799767,-74.01553128,1090192,Battery Park City-Lower Manhattan,MN25
Indoor,41654856,LEMAN MANHATTAN PREPARATORY SCHOOL LLC,41,BROAD STREET,MA,10004,5/21/2019,2019,Routine Inspection,2,0,1,1,10095-19S0,40.70556903,-74.01144786,1000823,Battery Park City-Lower Manhattan,MN25
Indoor,41654873,LEMAN MANHATTAN PREPARATORY SCHOOL LLC,1,MORRIS STREET,MA,10004,5/21/2019,2019,Routine Inspection,2,0,1,1,10113-19S0,40.70589544,-74.01337754,1000045,Battery Park City-Lower Manhattan,MN25
Indoor,40611006,DOLPHIN SPORTS SCHOOL INC,2114,BROWN STREET,BK,11229,5/22/2019,2019,Routine Inspection,2,0,0,2,,40.6001186,-73.93988058,3200302,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,41730447,EQUINOX 17TH STREET INC,100,10 AVENUE,MA,10011,5/28/2019,2019,Routine Inspection,2,1,1,0,10517-19S0,40.74362282,-74.00710939,1080359,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,50012064,4212 28ST LLC,4212,28 STREET,QU,11101,5/28/2019,2019,Routine Inspection,2,0,1,1,10505-19S0,40.74962069,-73.9391749,4617820,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,5/30/2019,2019,Re-Inspection,2,2,0,0,05297-19S5,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,40000035,FIORELLA H. LAGUARDIA COMMUNITY COLLEGE,31-10,THOMPSON AVENUE,QU,11101,5/31/2019,2019,Routine Inspection,2,0,1,1,,40.74489468,-73.93502177,4003534,Hunters Point-Sunnyside-West Maspeth,QN31
Indoor,40425555,333 EAST 66TH STREET CORPORATION,333,EAST 66 STREET,MA,10021,6/4/2019,2019,Routine Inspection,2,0,0,2,,40.76461082,-73.960247,1044740,Lenox Hill-Roosevelt Island,MN31
Indoor,40425496,TOWERS COUNTRY CLUB INC,272-86,GRAND CENTRAL PARKWAY,QU,11005,6/18/2019,2019,Routine Inspection,2,1,0,1,11843-19S0,40.75925224,-73.71293972,4456886,Glen Oaks-Floral Park-New Hyde Park,QN44
Indoor,41038239,LONG ISLAND UNIVERSITY,161,ASHLAND PLACE,BK,11201,6/19/2019,2019,Routine Inspection,2,0,0,2,,40.69092702,-73.97880413,3394444,Fort Greene,BK68
Indoor,41547586,HUNTINGTON FIT CORP,26-50,BROOKLYN QUEENS EXWY,QU,11377,6/24/2019,2019,Routine Inspection,2,0,1,1,12248-19S0,40.76165283,-73.90214886,4022555,Woodside,QN63
Indoor,41269465,L. A. FITNESS INTERNATIONAL LLC,145,EAST SERVICE ROAD,SI,10314,6/25/2019,2019,Complaint Inspection,2,0,1,1,12407-19S0,40.58787645,-74.19237208,5107392,New Springville-Bloomfield-Travis,SI05
Indoor,40425752,QUEENS COLLEGE,65-30,KISSENA BOULEVARD,QU,11367,6/27/2019,2019,Routine Inspection,2,0,0,2,,40.73669932,-73.81470219,4141870,Kew Gardens Hills,QN37
Indoor,40635621,ASTORIA SPORTS COMPLEX INC,34-38,38 STREET,QU,11101,6/27/2019,2019,Routine Inspection,2,1,0,1,12565-19S0,40.75639823,-73.92219308,4009645,Astoria,QN70
Indoor,41698301,EQUINOX ROCKEFELLER CENTER INC,630,5 AVENUE,MA,10020,7/1/2019,2019,Routine Inspection,2,0,1,1,12854-19S0,40.75877457,-73.97703538,1083860,Midtown-Midtown South,MN17
Outdoor,41205955,JANEL TOWER LLC,801-811,NEILL AVENUE,BX,10462,7/1/2019,2019,Routine Inspection,2,1,0,1,12812-19S0,40.85033575,-73.8644292,2048807,Pelham Parkway,BX49
Outdoor,40426035,NOBLE MANSION HOUSING CO INC,1500,NOBLE AVENUE,BX,10460,7/1/2019,2019,Routine Inspection,2,1,0,1,12847-19S0,40.83724049,-73.87149593,2028130,West Farms-Bronx River,BX08
Outdoor,40426053,DAYTON TOWERS CORP,8000,SHORE FRONT PARKWAY,QU,11693,7/2/2019,2019,Routine Inspection,2,0,0,2,,40.58639337,-73.80547562,4457806,Hammels-Arverne-Edgemere,QN12
Indoor,50063837,EVANS TOWER CONDOMINIUM ASSOCIATION,171,EAST 84 STREET,MA,10028,7/5/2019,2019,Routine Inspection,2,0,0,2,,40.77783615,-73.9557221,1047704,Upper East Side-Carnegie Hill,MN40
Outdoor,40963258,KENNEDY HOUSE OWNERS INC,110-11,QUEENS BOULEVARD,QU,11375,7/9/2019,2019,Routine Inspection,2,1,1,0,13363-19S0,40.7199154,-73.84050692,4052585,Forest Hills,QN17
Indoor,40425461,ST. FRANCIS COLLEGE,180,REMSEN STREET,BK,11201,7/11/2019,2019,Re-Inspection,2,0,1,1,12710-19S1,40.69326997,-73.99158698,3335934,Brooklyn Heights-Cobble Hill,BK09
Outdoor,40426129,TOWERS COUNTRY CLUB INC,272-86,GRAND CENTRAL PARKWAY,QU,11005,7/15/2019,2019,Routine Inspection,2,1,1,0,13728-19S0,40.75925224,-73.71293972,4456886,Glen Oaks-Floral Park-New Hyde Park,QN44
Outdoor,41676129,NYCP&R / MCCARREN PARK POOL,766,LORIMER STREET,BK,11222,7/16/2019,2019,Routine Inspection,2,0,1,1,,40.71996614,-73.95033855,,North Side-South Side,BK73
Outdoor,50079140,CASTLETON PRESERVATION LLC,185,SAINT MARKS PLACE,SI,10301,7/16/2019,2019,Routine Inspection,2,0,2,0,13854-19S0,40.64535096,-74.08072908,5108502,West New Brighton-New Brighton-St. George,SI22
Outdoor,40426355,NYCP&R / KOSCIUSKO,0,KOSCIUSKO STREET & MARCY AVENUE,BK,11216,7/16/2019,2019,Routine Inspection,2,0,1,1,,40.69139772,-73.9484271,,,
Outdoor,40426084,HENRY KAUFMAN CAMPGROUNDS INC,1131,MANOR ROAD,SI,10314,7/17/2019,2019,Routine Inspection,2,0,0,2,,40.59738575,-74.12383483,5104674,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24
Outdoor,40426332,NYCP&R / VAN CORTLANDT,0,242 STREET & BROADWAY,BX,10471,7/17/2019,2019,Routine Inspection,2,1,0,1,,40.89405144,-73.89649149,,,
Outdoor,40426343,NYCP&R / LIBERTY,0,172 STREET & LIBERTY AVENUE,QU,11433,7/17/2019,2019,Routine Inspection,2,0,1,1,,40.70157916,-73.78442578,,,
Outdoor,40426350,NYCP&R / BETSY HEAD,0,THOMAS BOYLAND & DUMONT AVENUE,BK,11212,7/17/2019,2019,Routine Inspection,2,0,1,1,,40.66343102,-73.91207244,,,
Outdoor,40750036,PARK CITY 3 & 4 APT INC,98-00,62 DRIVE,QU,11374,7/22/2019,2019,Re-Inspection,2,1,1,0,13312-19S1,40.73305494,-73.85965686,4440231,Rego Park,QN18
Outdoor,50092953,"ONE QPS OWNER, LLC",2301,42 ROAD,QU,11101,7/23/2019,2019,Routine Inspection,2,0,0,2,,40.75042365,-73.9420543,4617250,Hunters Point-Sunnyside-West Maspeth,QN31
Outdoor,40426360,NYCP&R / DAVID FOX PARK,0,AVENUE H & I EAST 54 & 55 STREET,BK,11234,7/23/2019,2019,Routine Inspection,2,0,0,2,,40.63273123,-73.92444187,,,
Outdoor,40426312,NYCP&R / THOMAS JEFFERSON,0,111 STREET & 1 AVENUE,MA,10029,7/24/2019,2019,Routine Inspection,2,0,1,1,,40.79355493,-73.93718075,,,
Outdoor,50054530,30-02 ASSOCIATES LLC,3002,39 AVENUE,QU,11101,7/26/2019,2019,Routine Inspection,2,1,0,1,14654-19S0,40.75302933,-73.93357729,4607501,Queensbridge-Ravenswood-Long Island City,QN68
Outdoor,40663188,AMERICAN TURNERS NEW YORK INC,748,CLARENCE AVENUE,BX,10465,7/29/2019,2019,Routine Inspection,2,0,0,2,,40.83039055,-73.81572669,2078262,Schuylerville-Throgs Neck-Edgewater Park,BX52
Indoor,50038488,24 HOUR FITNESS USA INC,245-24,HORACE HARDING EXPRESSWAY,QU,11363,7/29/2019,2019,Complaint Inspection,2,0,1,1,14694-19S0,40.75968106,-73.73369737,4171723,Douglas Manor-Douglaston-Little Neck,QN45
Outdoor,41305582,LIFELINE CTR FOR CHILD DEVELOPMENT,80-09,WINCHESTER BOULEVARD,QU,11427,7/29/2019,2019,Routine Inspection,2,0,1,1,,40.73835732,-73.73387314,4165628,Bellerose,QN43
Outdoor,40400002,RIVERBANK STATE PARK AQUATICS FACILITY,679,RIVERSIDE DRIVE,MA,10031,7/30/2019,2019,Routine Inspection,2,0,0,2,,40.82711109,-73.95196018,1090431,Hamilton Heights,MN04
Outdoor,40426030,RIVERPOINT TOWERS COOP INC,555,KAPPOCK STREET,BX,10463,7/30/2019,2019,Routine Inspection,2,0,0,2,,40.87806395,-73.91748295,2083246,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426241,601 KAPPOCK OWNERS CORP,601,KAPPOCK STREET,BX,10463,7/30/2019,2019,Routine Inspection,2,1,1,0,14814-19S0,40.87896913,-73.91668626,2083258,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426313,NYCP&R / HAMILTON FISH,128,PITT STREET,MA,10009,7/31/2019,2019,Routine Inspection,2,0,1,1,,40.71984643,-73.98172061,1081934,Lower East Side,MN28
Outdoor,40426180,COUNTRY NECK CORP,47-27,LITTLE NECK PARKWAY,QU,11365,7/31/2019,2019,Routine Inspection,2,0,0,2,,40.76994199,-73.73293773,4171647,Douglas Manor-Douglaston-Little Neck,QN45
Outdoor,40426368,NYCP&R / SUNSET POOL,0,7 AVENUE & 43 ROAD,BK,11232,7/31/2019,2019,Routine Inspection,2,0,1,1,,40.64677375,-74.00138737,,,
Outdoor,40426106,BELSHIRE MANOR PROPERTY,16-66,BELL BOULEVARD,QU,11360,8/1/2019,2019,Routine Inspection,2,0,0,2,,40.78507188,-73.7784236,4131166,Ft. Totten-Bay Terrace-Clearview,QN47
Outdoor,40426025,ALDER BROOK ASSOCIATION INC,4713,INDEPENDENCE AVENUE,BX,10471,8/2/2019,2019,Routine Inspection,2,2,0,0,15110-19S0,40.89519487,-73.9115983,,North Riverdale-Fieldston-Riverdale,BX22
Outdoor,41581532,BEECHWOOD RB SHOREHAVEN LLC,15,WHITE PLAINS ROAD,BX,10473,8/3/2019,2019,Routine Inspection,2,0,1,1,15126-19S0,40.80637217,-73.85461792,2120839,Soundview-Castle Hill-Clason Point-Harding Park,BX09
Indoor,41419392,THE DOWNTOWN CONDOMINIUM,15,BROAD STREET,MA,10005,8/6/2019,2019,Routine Inspection,2,2,0,0,15291-19S0,40.70652425,-74.01102242,1078988,Battery Park City-Lower Manhattan,MN25
Indoor,50047438,CARNEGIE MANAGEMENT INC,25,BRUCKNER BOULEVARD,BX,10454,8/6/2019,2019,Routine Inspection,2,1,1,0,15326-19S0,40.80730109,-73.92857769,2128931,Mott Haven-Port Morris,BX39
Indoor,40425958,TSI COBBLE HILL INC.,110,BOERUM PLACE,BK,11201,8/6/2019,2019,Re-Inspection,2,0,2,0,14338-19S1,40.6882031,-73.99134964,3002816,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Outdoor,40426351,NYCP&R / COMODORE BARRY,0,FLUSHING AVENUE & NAVY STREET,BK,11201,8/6/2019,2019,Routine Inspection,2,0,0,2,,40.69787303,-73.96377789,,,
Outdoor,40426158,CAMBRIDGE HALL & SWIM CLUB,226-26,UNION TURNPIKE,QU,11364,8/8/2019,2019,Routine Inspection,2,1,0,1,15533-19S0,40.73627008,-73.74419805,4453359,Oakland Gardens,QN42
Outdoor,40426143,MISSION OF THE IMMACULATE VIRGIN,6581,HYLAN BOULEVARD,SI,10309,8/8/2019,2019,Routine Inspection,2,0,0,2,,40.50907658,-74.22092791,5123970,Annadale-Huguenot-Prince's Bay-Eltingville,SI01
Outdoor,40749784,TOWN & COUNTRY VILLAS HOA,41,COUNTRY DRIVE EAST,SI,10314,8/8/2019,2019,Routine Inspection,2,1,1,0,15495-19S0,40.58739771,-74.16306015,5132299,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24
Indoor,41396982,TSI BAY RIDGE 86 STREET LLC,439,86 STREET,BK,11209,8/9/2019,2019,Routine Inspection,2,0,1,1,15601-19S0,40.62224858,-74.02744188,3153184,Bay Ridge,BK31
Outdoor,40426354,NYCP&R / HOWARD HOUSES,0,EAST NEW YORK AVENUE & MOTHER GASTON BLVD,BK,11212,8/9/2019,2019,Routine Inspection,2,0,0,2,,40.67265456,-73.90992248,,,
Outdoor,41355188,NYCP&R/ VESUVIO POOL,95,THOMPSON STREET,MA,10012,8/12/2019,2019,Routine Inspection,2,0,1,1,,40.72533465,-74.00225129,1088208,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Outdoor,40426315,NYCP&R / DRY DOCK,0,10 STREET & AVENUE D,MA,10009,8/12/2019,2019,Routine Inspection,2,0,0,2,,40.72494501,-73.97531534,,,
Outdoor,40426367,NYCP&R / ALEX LINDOWER (MILL BASIN) CPB#18,0,EAST 60 STREET & STRICKLAND AVENUE,BK,11234,8/13/2019,2019,Routine Inspection,2,0,0,2,,40.61282016,-73.91233025,,,
Outdoor,40637422,MANHEM BEACH CLUB INC,658,CLARENCE AVENUE,BX,10465,8/14/2019,2019,Routine Inspection,2,0,0,2,,40.82869746,-73.81428239,2097560,Schuylerville-Throgs Neck-Edgewater Park,BX52
Outdoor,50059869,WHITE CROSS FISHING CLUB INC,750,CLARENCE AVENUE,BX,10465,8/14/2019,2019,Routine Inspection,2,0,0,2,,40.83041803,-73.81574829,2078255,Schuylerville-Throgs Neck-Edgewater Park,BX52
Indoor,50011283,TSI WEST END LLC,75,WEST END AVENUE,MA,10023,8/15/2019,2019,Complaint Inspection,2,1,0,1,16000-19S0,40.77421287,-73.98923712,1088686,Lincoln Square,MN14
Outdoor,41282329,NYCP&R / FORT TOTTEN PARK POOL,338,STORY AVENUE,QU,11359,8/16/2019,2019,Routine Inspection,2,0,1,1,,40.79206016,-73.77425428,4539840,Ft. Totten-Bay Terrace-Clearview,QN47
Outdoor,50050908,SECTION THREE SP INC,98-32,57 AVENUE,QU,11368,8/18/2019,2019,Routine Inspection,2,1,0,1,16081-19S0,40.73802752,-73.86114389,4047322,Corona,QN25
Outdoor,41109095,BELCREST APARTMENTS LLC,162-15,HIGHLAND AVENUE,QU,11432,8/18/2019,2019,Complaint Inspection,2,1,0,1,16082-19S0,40.70988716,-73.80087922,4209099,Briarwood-Jamaica Hills,QN35
Indoor,41002352,TOWN SPORTS INTERNATIONAL,324,9 STREET,BK,11215,8/19/2019,2019,Re-Inspection,2,0,1,1,15156-19S1,40.66887108,-73.98572151,3022267,Park Slope-Gowanus,BK37
Outdoor,41596291,THE ST TROPEZ CONDOMINIUM,340,EAST 64 STREET,MA,10065,8/21/2019,2019,Routine Inspection,2,1,1,0,16283-19S0,40.76328538,-73.96103475,1044390,Lenox Hill-Roosevelt Island,MN31
Outdoor,40426068,THE CRYDER HOUSE INC,166-25,POWELLS COVE BOULEVARD,QU,11357,8/21/2019,2019,Routine Inspection,2,0,1,1,16265-19S0,40.79394469,-73.79718861,4103995,Whitestone,QN49
Outdoor,40426386,TREGER MGT CO,815,GRAVESEND NECK ROAD,BK,11223,8/21/2019,2019,Routine Inspection,2,1,0,1,16301-19S0,40.59424875,-73.96201955,3194109,Homecrest,BK25
Outdoor,40426294,BROOK CLUB CONDOMINIUM,8100,AVENUE L,BK,11236,8/22/2019,2019,Routine Inspection,2,0,0,2,,40.63114832,-73.90692001,3412982,Canarsie,BK50
Indoor,50038486,24 HOUR FITNESS USA INC,1921,86 STREET,BK,11214,8/22/2019,2019,Complaint Inspection,2,0,1,1,16359-19S0,40.605602,-73.99990997,3165822,Bensonhurst West,BK28
Indoor,40425706,NYC BD OF ED/THOMAS JEFFERSON HIGH SCHOOL,400,PENNSYLVANIA AVENUE,BK,11207,8/23/2019,2019,Routine Inspection,2,0,0,2,,40.6674485,-73.89474657,3084440,East New York (Pennsylvania Ave),BK85
Outdoor,41109085,LAWRENCE GARDENS APARTMENTS LLC,3323,NOSTRAND AVENUE,BK,11229,8/27/2019,2019,Routine Inspection,2,0,0,2,,40.60332308,-73.94242735,3197677,Madison,BK44
Outdoor,40000002,ROBERTO CLEMENTE STATE PARK,0,WEST TREMONT AVENUE & MATTHEWSON ROAD,BX,10453,8/27/2019,2019,Routine Inspection,2,0,0,2,,40.85357313,-73.91945915,,,
Outdoor,40578205,NEWPORT APARTMENTS INC,42-65,KISSENA BOULEVARD,QU,11355,8/28/2019,2019,Routine Inspection,2,0,0,2,,40.75603097,-73.82536846,4116923,Flushing,QN22
Outdoor,40426222,W P OWNERS CORP,213-05,75 AVENUE,QU,11364,8/29/2019,2019,Re-Inspection,2,0,1,1,13408-19S1,40.73828916,-73.75890956,4453066,Oakland Gardens,QN42
Outdoor,40426042,DAVID SILVERSTEIN ET AL,415,STRATFORD ROAD,BK,11218,8/30/2019,2019,Re-Inspection,2,2,0,0,16219-19S1,40.63843878,-73.96768002,3118631,Flatbush,BK42
Indoor,40891587,THE FITNESS PLACE KINGS HIGHWAY NY INC,925,KINGS HIGHWAY,BK,11223,8/30/2019,2019,Routine Inspection,2,0,1,1,16847-19S0,40.60696843,-73.96305669,3177588,Homecrest,BK25
Outdoor,41587921,DONALD LENTNEK,2770,OCEAN AVENUE,BK,11229,8/30/2019,2019,Routine Inspection,2,0,0,2,,40.59382434,-73.95036792,3202124,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17
Indoor,40673460,SUNRISE TOWER CONDO,755,NARROWS ROAD NORTH,SI,10304,8/31/2019,2019,Routine Inspection,2,0,0,2,,40.61065809,-74.09356634,5089818,Grymes Hill-Clifton-Fox Hills,SI08
Indoor,50091165,520 PARK AVENUE CONDOMINIUM,520,PARK AVENUE,MA,10065,9/4/2019,2019,Routine Inspection,2,1,1,0,17036-19S0,40.76393584,-73.97004115,1090526,Upper East Side-Carnegie Hill,MN40
Indoor,40425800,LA RIVE CONDOMINIUM MIDBORO MGT. INC,2521-23,PALISADE AVENUE,BX,10463,9/4/2019,2019,Routine Inspection,2,0,0,2,,40.8810534,-73.92206472,2087530,Spuyten Duyvil-Kingsbridge,BX29
Indoor,40615420,WAGNER COLLEGE,631,HOWARD AVENUE,SI,10301,9/4/2019,2019,Routine Inspection,2,1,0,1,17019-19S0,40.61612981,-74.09524893,5147163,Grymes Hill-Clifton-Fox Hills,SI08
Indoor,40425823,THE FOREST HILLS JEWISH CENTER,106-06,QUEENS BOULEVARD,QU,11375,9/6/2019,2019,Routine Inspection,2,0,0,2,,40.72211227,-73.84733457,4077479,Forest Hills,QN17
Indoor,40595344,BROOKLYN RENAISSANCE CENTER,350,JAY STREET,BK,11201,9/9/2019,2019,Routine Inspection,2,0,0,2,,40.69350287,-73.98724881,3000259,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Indoor,40000005,SUNY MARITIME (STATE FACILITY),6,PENNYFIELD AVENUE,BX,10465,9/18/2019,2019,Routine Inspection,2,0,1,1,,40.80910284,-73.80124955,2100430,Schuylerville-Throgs Neck-Edgewater Park,BX52
Indoor,41076760,108TH STREET OWNERS CORP,59-30,108 STREET,QU,11368,9/18/2019,2019,Routine Inspection,2,0,2,0,18164-19S0,40.73895848,-73.85272312,4048307,Corona,QN25
Indoor,50053270,21 EAST 61 STREET APARTMENT CORP,680,MADISON AVENUE,MA,10065,9/23/2019,2019,Routine Inspection,2,0,1,1,18466-19S0,40.76515183,-73.97027887,1040849,Upper East Side-Carnegie Hill,MN40
Indoor,40425798,GOTHAM CONDOMINIUM HEALTH CLUB,170,EAST 87 STREET,MA,10128,9/24/2019,2019,Routine Inspection,2,1,0,1,18549-19S0,40.77983928,-73.95434143,1047961,Upper East Side-Carnegie Hill,MN40
Indoor,50014553,HUB ASSOCIATES LLC,333,SCHERMERHORN STREET,BK,11217,9/24/2019,2019,Routine Inspection,2,0,0,2,,40.68713692,-73.98124283,3418263,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Indoor,41572745,TOWN SPORTS INTERNATIONAL LLC,575,LEXINGTON AVENUE,MA,10022,9/30/2019,2019,Routine Inspection,2,0,2,0,18922-19S0,40.75720889,-73.97182732,1036461,Turtle Bay-East Midtown,MN19
Outdoor,41365728,SPA CASTLE INC,11-Nov,131 STREET,QU,11356,10/3/2019,2019,Re-Inspection,2,1,0,1,17997-19S1,40.78749256,-73.83735071,,,
Indoor,50047550,CRUNCH LLC,1438,3 AVENUE,MA,10028,10/7/2019,2019,Routine Inspection,2,0,1,1,19332-19S0,40.77591497,-73.95610971,1047569,Upper East Side-Carnegie Hill,MN40
Indoor,40425837,ST. SEBASTIANS R.C. CHURCH,39-60,57 STREET,QU,11377,10/10/2019,2019,Routine Inspection,2,1,1,0,19607-19S0,40.74682678,-73.90684077,4028216,Woodside,QN63
Indoor,40975025,TOWN SPORTS INTERNATIONAL,10-Apr,IRVING PLACE,MA,10003,10/15/2019,2019,Routine Inspection,2,0,1,1,19795-19S0,40.73444671,-73.98842087,1084936,Gramercy,MN21
Indoor,41733694,515 EAST 72ND STREET CONDOMINIUM,515,EAST 72 STREET,MA,10021,10/23/2019,2019,Routine Inspection,2,0,0,2,,40.76665304,-73.95327109,1046261,Lenox Hill-Roosevelt Island,MN31
Indoor,40425563,CENTRAL QUEENS Y.M.-Y.W.H.A,67-09,108 STREET,QU,11375,10/24/2019,2019,Routine Inspection,2,0,2,0,20600-19S0,40.72869434,-73.84741324,4051865,Forest Hills,QN17
Indoor,50038486,24 HOUR FITNESS USA INC,1921,86 STREET,BK,11214,10/24/2019,2019,Routine Inspection,2,0,2,0,20599-19S0,40.605602,-73.99990997,3165822,Bensonhurst West,BK28
Indoor,40425693,NYC BD OF ED/JOHN JAY HIGH SCHOOL,237,7 AVENUE,BK,11215,10/30/2019,2019,Routine Inspection,2,0,0,2,,40.66962217,-73.97928676,3025510,Park Slope-Gowanus,BK37
Indoor,41486795,CS RITZ RESIDENTS LLC,235,WEST 48 STREET,MA,10036,10/31/2019,2019,Routine Inspection,2,0,0,2,,40.76046948,-73.9856657,1076194,Midtown-Midtown South,MN17
Indoor,41312040,WOORI SAUNA,157-16B,NORTHERN BOULEVARD,QU,11354,10/31/2019,2019,Routine Inspection,2,0,2,0,21051-19S0,40.76370229,-73.80799894,4119353,Murray Hill,QN51
Indoor,50063791,SAMCOM 48 (DE) LLC,37-10,114 STREET,QU,11368,11/1/2019,2019,Routine Inspection,2,0,2,0,21154-19S0,40.75476964,-73.85374921,4044891,Corona,QN25
Indoor,50003158,NEWYORK SPA & SAUNA CORP,149-06,NORTHERN BOULEVARD,QU,11354,11/13/2019,2019,Re-Inspection,2,2,0,0,20995-19S1,40.76533071,-73.81686766,4595272,Murray Hill,QN51
Indoor,50079793,K-TOWN SAUNA INC,22,WEST 32 STREET,MA,10001,11/14/2019,2019,Re-Inspection,2,2,0,0,21136-19S1,40.74762687,-73.98665374,1015828,Midtown-Midtown South,MN17
Indoor,40425695,NYC BD OF ED/BUSHWICK HIGH SCHOOL,400,IRVING AVENUE,BK,11237,11/14/2019,2019,Routine Inspection,2,0,1,1,,40.69717736,-73.91116946,3076908,Bushwick North,BK77
Indoor,41317305,NYCP&R / FLUSHING MEADOWS- CORONA PARK POOL AND RINK,125-40,ROOSEVELT AVENUE,QU,11368,11/15/2019,2019,Complaint Inspection,2,0,0,2,,40.75517911,-73.84371761,4540097,park-cemetery-etc-Queens,QN99
Indoor,41102431,TOWN SPORTS INTERNATIONAL LLC,232,MERCER STREET,MA,10012,11/19/2019,2019,Re-Inspection,2,1,1,0,21502-19S1,40.72769785,-73.99599155,1086637,West Village,MN23
Indoor,40425670,300 E. 85TH HOUSING CORP HEALTH CLUB,300,EAST 85 STREET,MA,10028,11/21/2019,2019,Routine Inspection,2,2,0,0,22467-19S0,40.77703039,-73.95188813,1078565,Yorkville,MN32
Indoor,40425780,NYCP&R / ASSER LEVY POOL,0,EAST 23 STREET & ASSER LEVY PLACE,MA,10010,11/25/2019,2019,Routine Inspection,2,1,0,1,,40.7361301,-73.97615915,,,
Indoor,40425457,SKYLINE MOTOR INN,725,10 AVENUE,MA,10019,11/26/2019,2019,Re-Inspection,2,1,0,1,21825-19S1,40.7642716,-73.9920942,1083799,Clinton,MN15
Indoor,41677630,M CLUB GYM LLC,550,WEST 54 STREET,MA,10019,11/26/2019,2019,Re-Inspection,2,0,1,1,21974-19S1,40.76791112,-73.99172553,1088726,Clinton,MN15
Indoor,40425788,NYCP&R / ST.JOHNS,1251,PROSPECT PLACE,BK,11213,11/29/2019,2019,Routine Inspection,2,1,0,1,,40.67348112,-73.93479961,3393257,Crown Heights North,BK61
Indoor,41700349,ET 400 PAS LLC,400,PARK AVENUE SOUTH,MA,10016,12/3/2019,2019,Routine Inspection,2,0,0,2,,40.74317455,-73.98418982,1089699,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,50079793,K-TOWN SAUNA INC,22,WEST 32 STREET,MA,10001,12/3/2019,2019,Re-Inspection,2,2,0,0,21136-19S2,40.74762687,-73.98665374,1015828,Midtown-Midtown South,MN17
Indoor,41203693,UPPER EAST LEASE ASSOCIATION LLC,217,EAST 96 STREET,MA,10128,12/9/2019,2019,Routine Inspection,2,0,1,1,23339-19S0,40.78477729,-73.94834727,1086570,East Harlem South,MN33
Indoor,40425685,BAY BRIDGE CONDOMINIUMS,13-34,ESTATES LANE,QU,11360,12/11/2019,2019,Routine Inspection,2,1,1,0,23552-19S0,40.78709461,-73.78703679,4130109,Ft. Totten-Bay Terrace-Clearview,QN47
Indoor,40425440,DORADO HOUSE FLUSHING INC,140-55,34 AVENUE,QU,11354,12/12/2019,2019,Routine Inspection,2,0,1,1,23651-19S0,40.7665321,-73.82695452,4112574,Flushing,QN22
Indoor,41733136,POLY PREP COUNTRY DAY SCHOOL,9216,7 AVENUE,BK,11228,12/12/2019,2019,Routine Inspection,2,0,1,1,23587-19S0,40.61231054,-74.02373162,3336349,Dyker Heights,BK30
Indoor,40425589,SHOREFRONT YM-YWHA / BRIGHTON BEACH,3300,CONEY ISLAND AVENUE,BK,11235,12/13/2019,2019,Routine Inspection,2,1,1,0,23678-19S0,40.57559978,-73.9594636,3326880,Brighton Beach,BK19
Indoor,41668159,"CRUNCH, LLC",222,EAST 34 STREET,MA,10018,12/16/2019,2019,Routine Inspection,2,0,0,2,,40.7452731,-73.97709419,1088117,Murray Hill-Kips Bay,MN20
Indoor,41735863,95 BEDFORD LLC,101,BEDFORD AVENUE,BK,11211,12/16/2019,2019,Routine Inspection,2,0,0,2,,40.72029197,-73.95506782,3251727,North Side-South Side,BK73
Indoor,50058528,VNO 225 WEST 58TH STREET LLC,220,CENTRAL PARK SOUTH,MA,10019,12/17/2019,2019,Routine Inspection,2,0,0,2,,40.76715757,-73.979787,1090184,Midtown-Midtown South,MN17
Indoor,50051333,160 LEROY LLC,160,LEROY STREET,MA,10014,12/19/2019,2019,Routine Inspection,2,1,1,0,24098-19S0,40.73051635,-74.01009551,1090584,West Village,MN23
